model,mean_val_acc,mean_test_acc,std_test_acc,best_test_acc,runs,mean_val_acc_percent,mean_test_acc_percent,std_test_acc_percent,best_test_acc_percent
Custom CNN,0.8453333333333334,0.8419666666666666,0.0036018513757972784,0.8461,3,84.53333333333333,84.19666666666666,0.3601851375797278,84.61
ResNet18,0.9355333333333333,0.9282333333333334,0.006672580710140078,0.9334,3,93.55333333333333,92.82333333333334,0.6672580710140078,93.34
ViT Tiny,0.7959333333333333,0.7984333333333334,0.007705409355338204,0.8053,3,79.59333333333333,79.84333333333335,0.7705409355338204,80.53
