experiment,mean_test_acc,std_test_acc,best_test_acc,runs,mean_test_acc_percent,std_test_acc_percent,best_test_acc_percent
AdamW + Cosine,0.8294,0.008850423718670114,0.8358,3,82.94,0.8850423718670114,83.58
CutMix,0.8381666666666666,0.0037072002014098614,0.8424,3,83.81666666666666,0.37072002014098615,84.24000000000001
Label Smoothing,0.8386666666666667,0.002753785273643109,0.8415,3,83.86666666666667,0.2753785273643109,84.15
Random Erasing,0.8239666666666666,0.010583635166299598,0.8355,3,82.39666666666666,1.0583635166299599,83.55
Deeper CNN,0.8158,0.014371151658791947,0.8297,3,81.58,1.4371151658791947,82.97
